product_category_raw,category_clean,category_group
,Unknown,Unknown
Agro Industria e Comercio,Agro Industry & Commerce,Other
Art,Art,Media & Entertainment
Arts and Crafts,Arts & Crafts,Media & Entertainment
audio,Audio,Tech
automotive,Automotive,Auto
babies,Baby,Other
Bags Accessories,Bags & Accessories,Fashion
bed table bath,"Bed, Bath & Table",Home
Blu Ray DVDs,DVDs & Blu-Ray,Media & Entertainment
Casa Construcao,Home Construction,Construction & Tools
cds music dvds,Music CDs & DVDs,Media & Entertainment
Christmas articles,Christmas Supplies,Other
cine photo,Cameras & Photography,Tech
CITTE AND UPHACK FURNITURE,Upholstered Furniture,Home
climatization,Air Conditioning,Home
computer accessories,Computer Accessories,Tech
CONSTRUCTION SECURITY TOOLS,Construction Tools - Safety,Construction & Tools
Construction Tools Construction,Construction Tools,Construction & Tools
Construction Tools Garden,Construction Tools - Garden,Construction & Tools
Construction Tools Illumination,Construction Tools - Lighting,Construction & Tools
Construction Tools Tools,Construction Tools - Hand Tools,Construction & Tools
Cool Stuff,Cool Stuff,Other
Drink foods,Food & Drink,Food & Drink
drinks,Drinks,Food & Drink
ELECTRICES 2,Home Appliances 2,Home
electronics,Electronics,Tech
electrostile,Small Appliances,Home
Fashion Bags and Accessories,Fashion Bags & Accessories,Fashion
Fashion Calcados,Fashion Shoes,Fashion
Fashion Children's Clothing,Fashion - Kids,Fashion
Fashion Men's Clothing,Fashion - Men,Fashion
Fashion Sport,Fashion - Sport,Fashion
Fashion Underwear and Beach Fashion,Fashion - Underwear & Beachwear,Fashion
Fashion Women's Clothing,Fashion - Women,Fashion
fixed telephony,Landline Phones,Tech
flowers,Flowers,Other
foods,Food,Food & Drink
Furniture,Furniture,Home
Furniture Decoration,Furniture & Decor,Home
Furniture Kitchen Service Area Dinner and Garden,"Kitchen, Dining & Garden Furniture",Home
Furniture office,Office Furniture,Home
Games consoles,Game Consoles,Tech
Garden tools,Garden Tools,Construction & Tools
General Interest Books,Books - General,Media & Entertainment
HEALTH BEAUTY,Health & Beauty,Health & Beauty
home appliances,Home Appliances,Home
House comfort,Home Comfort,Home
House Comfort 2,Home Comfort 2,Home
HOUSE PASTALS OVEN AND CAFE,"Kitchen - Bakeware, Ovens & Coffee",Home
housewares,Housewares,Home
Hygiene diapers,Diapers & Hygiene,Health & Beauty
IMAGE IMPORT TABLETS,Tablets & Imaging,Tech
Imported books,Books - Imported,Media & Entertainment
Industry Commerce and Business,"Industry, Commerce & Business",Other
insurance and services,Insurance & Services,Other
Kitchen portable and food coach,Kitchen Portables & Food Prep,Home
La Cuisine,Kitchen - La Cuisine,Home
Market Place,Marketplace,Other
musical instruments,Musical Instruments,Media & Entertainment
party articles,Party Supplies,Other
PC Gamer,PC Gaming,Tech
PCs,PCs,Tech
perfumery,Perfumery,Health & Beauty
pet Shop,Pet Shop,Other
Room Furniture,Bedroom Furniture,Home
SIGNALIZATION AND SAFETY,Signage & Safety,Construction & Tools
song,Music,Media & Entertainment
sport leisure,Sports & Leisure,Sports & Leisure
stationary store,Stationery,Other
technical books,Books - Technical,Media & Entertainment
telephony,Phones,Tech
toys,Toys,Sports & Leisure
Watches present,Watches & Gifts,Other
